fips,county_name,state_alpha,year,crop,yield_per_acre,yield_status,acres_planted,acres_harvested,yield_anomaly_pct,precip_mm,precip_anomaly_pct,tavg_c,extreme_heat_days,gdd,max_drought_severity,weeks_in_d2_plus,mean_dsci,aws_100cm_mm,droughty_pct,nccpi_crop
06001,Alameda County,CA,2000,CORN,116.7,reported,600.0,600.0,,33.8,76.0,20.06,5,1507.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2001,CORN,155.0,reported,400.0,400.0,,6.5,-65.89,20.7,5,1591.0,2,0,69.4,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2002,CORN,,not_reported,,,,18.2,-5.11,19.93,6,1484.0,1,0,85.7,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2003,CORN,152.5,reported,500.0,400.0,,21.6,12.34,20.58,8,1572.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2004,CORN,,not_reported,,,,13.0,-32.16,20.23,3,1537.0,1,0,59.1,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2005,CORN,,not_reported,,,,48.8,154.16,19.78,1,1470.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2006,CORN,,not_reported,,,,18.2,-5.15,20.48,8,1550.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2007,CORN,,not_reported,,,,9.3,-51.53,19.75,2,1473.0,3,19,253.7,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2008,CORN,,not_reported,,,,0.2,-99.14,20.06,11,1491.0,3,10,227.2,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2009,CORN,,not_reported,,,,25.3,31.82,20.3,6,1525.0,3,22,237.7,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2010,CORN,,not_reported,,,,20.7,7.99,19.1,3,1374.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2011,CORN,,not_reported,,,,67.0,248.91,19.19,0,1391.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2012,CORN,,not_reported,,,,4.5,-76.75,19.61,1,1453.0,2,0,196.9,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2013,CORN,,not_reported,,,,18.5,-3.81,20.18,0,1532.0,3,14,266.7,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2014,CORN,,not_reported,,,,11.4,-40.68,20.85,0,1633.0,5,22,498.9,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2015,CORN,,not_reported,,,,16.3,-15.01,20.65,8,1583.0,5,22,419.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2016,CORN,,not_reported,,,,7.0,-63.5,20.02,1,1501.0,4,22,327.3,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2017,CORN,,not_reported,,,,2.7,-85.91,20.96,7,1619.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2018,CORN,,not_reported,,,,0.6,-96.94,19.35,0,1425.0,1,0,79.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2019,CORN,,not_reported,,,,61.9,222.42,19.64,4,1454.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2020,CORN,,not_reported,,,,23.3,21.64,20.77,6,1609.0,3,22,253.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2021,CORN,,not_reported,,,,1.0,-94.96,19.49,0,1462.0,5,22,473.0,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2022,CORN,,not_reported,,,,14.4,-25.0,19.93,3,1524.0,4,22,303.5,116.89953530805,62.1539170085945,0.0675
06001,Alameda County,CA,2023,CORN,,not_reported,,,,26.6,38.41,18.51,0,1315.0,0,0,0.0,116.89953530805,62.1539170085945,0.0675
